Distr;D_stats;p_value;Parameters
alpha;0.038688;0.614000;(49.06433524185363, -0.6321147726769691, 71.3882406925488)
invgauss;0.039334;0.593000;(0.014798223429968765, 0.5702445992472869, 17.12184315185046)
erlang;0.041391;0.528000;(869.3802759007663, -0.052411576112558506, 0.0010075861992222797)
chi;0.041416;0.527000;(136.0883114227447, 0.33376526711156895, 0.042060695743702026)
invgamma;0.041484;0.525000;(2522.9477073976377, -0.6716478828941952, 3770.8489686393987)
gamma;0.042803;0.485000;(856.6552889136656, -0.04767236904677698, 0.001017131262306411)
fatiguelife;0.043286;0.470000;(0.007244228668448573, -3.2688470871846533, 4.092261553642073)
recipinvgauss;0.043747;0.457000;(0.0066928416440601105, 0.45622686903945175, 0.002445761591849651)
lognorm;0.043974;0.450000;(0.009059179521059998, -2.4425640310547174, 3.2660354487082643)
nakagami;0.045347;0.411000;(2390.2540519502936, -2.08355934919981, 2.9073225517096537)
betaprime;0.045412;0.410000;(2051.8379530588363, 1109.6943404723488, 0.017879069964946717, 0.4355241456484997)
f;0.045867;0.397000;(239924.6820103007, 325692.63882150094, -6.988065638699386, 7.811671778100617)
rice;0.046265;0.387000;(94.62407581618285, -1.9829696345773193, 0.029658939478209093)
norm;0.046283;0.386000;(0.8236378155009182, 0.029661232903227926)
exponnorm;0.046276;0.386000;(4.320698449470539e-06, 0.8236371773591473, 0.029661078134769755)
t;0.046526;0.380000;(72.05349818277689, 0.8236778391754462, 0.0292474303837564)
levy_stable;0.046509;0.380000;(1.9999971720346454, -0.9439093678434605, 0.8236537433876929, 0.02098042116032302)
gengamma;0.046663;0.376000;(57.27340613129458, 3.2269148270417833, 0.10010108765833386, 0.20676744813469955)
tukeylambda;0.047322;0.359000;(0.12132603531907318, 0.8237267410360046, 0.019846154744697933)
gennorm;0.048451;0.331000;(1.8441763021230404, 0.8237783599305765, 0.040092971950938854)
dgamma;0.051585;0.262000;(1.2867630990908456, 0.823379060186517, 0.018172289553984686)
pearson3;0.052207;0.250000;(-0.09031995554748451, 0.8236374466052179, 0.02965949453389142)
johnsonsb;0.052283;0.248000;(-17.31397607158603, 16.336024403427146, -1.0581662423705964, 2.534462144126375)
loggamma;0.052369;0.246000;(115.83965611563232, -0.6887678195610176, 0.3185430591731936)
powerlognorm;0.053030;0.234000;(2.190727126958943, 0.02179697946785974, -0.8642920872315836, 1.7110169073570214)
powernorm;0.053290;0.229000;(1.705126675660817, 0.8389521960252966, 0.034458740839942825)
