Distr;D_stats;p_value;Parameters
gengamma;0.032346;0.660000;(14.01307201085438, 42660.6141696729, -7463.84364990615, 7464.2519086832435)
t;0.034643;0.574000;(33.580181128408015, 0.8642796906293853, 0.04631239986988152)
exponweib;0.034841;0.566000;(4.028457389762576, 123.98205278591992, -9.274778393344578, 10.091370827657432)
norm;0.035006;0.560000;(0.8638531395759161, 0.04779326595922785)
foldnorm;0.035006;0.560000;(15.41702737811022, 0.12702283489078317, 0.04779327637705049)
exponnorm;0.035008;0.560000;(2.9009471280800876e-05, 0.863851005864481, 0.0477943488700852)
rice;0.035037;0.559000;(49.15883970754055, -1.4862233496511492, 0.047796163539569045)
dweibull;0.035080;0.558000;(1.2789540873764946, 0.8649884189422121, 0.040987921434188224)
lognorm;0.035117;0.556000;(0.0033541615326368552, -13.354965946213252, 14.21883512820774)
gennorm;0.035234;0.552000;(1.930379733339886, 0.8640257222333665, 0.06631839748845374)
f;0.035312;0.549000;(1092683.8845084142, 1124479.3506721426, -24.363238444046686, 25.226911654469177)
nakagami;0.035891;0.528000;(10281.646070201423, -8.858826685238899, 9.72284114982812)
tukeylambda;0.036220;0.516000;(0.0778661083198609, 0.8645350383209569, 0.030208929193561843)
fatiguelife;0.036364;0.511000;(0.005211791486412787, -8.316261501183945, 9.180243621705507)
loggamma;0.036594;0.503000;(7.800733211793757, 0.6068385543510517, 0.12923400316801903)
powernorm;0.036623;0.502000;(7.700760702238587, 0.9730627605214105, 0.07781884464454931)
dgamma;0.036692;0.500000;(1.4122410825493834, 0.8650012793904367, 0.0269682343977605)
chi;0.036888;0.493000;(299.13632306498914, -0.31270708429082517, 0.06807338116946693)
johnsonsu;0.037112;0.485000;(12.430490998309786, 7.6024613487017785, 1.1993262508524225, 0.13478845609915974)
fisk;0.037934;0.457000;(117822548.4373559, -3211533.5261294805, 3211534.3913488863)
logistic;0.037984;0.455000;(0.865219115157495, 0.02726524960839137)
invgamma;0.038077;0.452000;(1745.2771821683746, -1.1443419643647035, 3502.5647698244084)
powerlognorm;0.038100;0.451000;(23.50215710758306, 0.08842909235800522, -0.2033296744678884, 1.2655286374776709)
pearson3;0.038227;0.447000;(-0.36776161283908815, 0.8638528571124167, 0.047800593484779934)
beta;0.038233;0.447000;(81576314.19790138, 29.57648439418572, -717015.8539956333, 717016.9778121053)
johnsonsb;0.038325;0.444000;(-7.909576123095841, 5.208642437539071, -0.5088980842346814, 1.6770182993571159)
chi2;0.041613;0.343000;(262.56982394126214, 0.3032435074316835, 0.002132658282079588)
hypsecant;0.041722;0.340000;(0.8656644865043576, 0.032652631064561705)
gamma;0.042168;0.327000;(162.47736065096575, 0.23760921896080262, 0.0038505619221725863)
genlogistic;0.042591;0.316000;(0.726923228298138, 0.8778776540812585, 0.024020291301387574)
alpha;0.042684;0.313000;(39.97432247822478, -1.0753358151519024, 77.48207659723579)
erlang;0.045381;0.247000;(112.45386370725024, 0.34216762643388776, 0.004640166572903592)
invgauss;0.045500;0.244000;(0.006477631644868557, 0.24850050848888597, 94.91398981870609)
burr;0.045851;0.237000;(49.62200232402557, 0.6122253857735782, -0.2392137925212351, 1.122970122641958)
weibull_max;0.046963;0.213000;(2.8488548032628147, 0.9911172977219503, 0.14266082316985845)
recipinvgauss;0.047896;0.195000;(0.003988582816832788, 0.08398412889183193, 0.0031016426006808748)
levy_stable;0.049397;0.169000;(2.0, -1.0, 0.8666666666666766, 0.0340844661349104)
weibull_min;0.049657;0.164000;(7.5374742946006705, 0.5503131956515211, 0.3335946825714636)
mielke;0.051101;0.142000;(8.55137279573655, 19.663163249963198, 0.4962834332434113, 0.3983861184132302)
