Distr;D_stats;p_value;Parameters
fatiguelife;0.145147;0.077000;(0.002753070049251941, -5.801010825249165, 6.781239795364158)
lognorm;0.145518;0.075000;(0.002941828534840967, -5.365381738511074, 6.345640650837206)
nakagami;0.145629;0.075000;(73823.12401617074, -9.204705949182838, 10.184942130405744)
exponnorm;0.145818;0.074000;(8.301276604387908e-05, 0.9802540008258089, 0.018723283705824087)
norm;0.145821;0.074000;(0.9802555420723772, 0.018723532012381482)
foldnorm;0.145821;0.074000;(4.846586968110719, 0.8895109071591831, 0.018723436022825654)
f;0.147560;0.069000;(672016.5490527599, 214370.25448118016, -4.410293288828511, 5.390441806196575)
t;0.148583;0.066000;(8.751149386619183, 0.9817406096319985, 0.01647166792366609)
alpha;0.149946;0.062000;(94.7807190351154, -0.8249206684456181, 171.07545902103448)
fisk;0.150287;0.061000;(223310743.4607583, -2328037.21821241, 2328038.2001524502)
logistic;0.150438;0.060000;(0.9819393312646968, 0.01043262354110046)
powerlognorm;0.151608;0.057000;(39.72766513748881, 0.03674982941436422, -0.05692574923623861, 1.1226432381047466)
chi2;0.156145;0.046000;(167.6080719201824, 0.7974572117551495, 0.0010884401734664417)
invgauss;0.156404;0.045000;(0.00950516735898508, 0.7745778240564758, 21.598412612678487)
betaprime;0.156574;0.045000;(329.7731217402568, 483.55373027917574, 0.702734098770808, 0.4057770477291005)
invgamma;0.156501;0.045000;(649.4912101491002, 0.4818688925800534, 323.20539927052823)
hypsecant;0.157313;0.044000;(0.9824381031561578, 0.012495094224195228)
recipinvgauss;0.160046;0.038000;(0.004579727915765618, 0.6879114426784492, 0.001333293081927013)
rayleigh;0.164957;0.030000;(0.9381919642045711, 0.0325569902944027)
gengamma;0.166934;0.027000;(1.3493003194194484, 25141545.22011918, -440765.1547533064, 440766.1370195111)
powernorm;0.168634;0.025000;(29778.224758692333, 1.232123475405455, 0.0611593625591004)
gompertz;0.171562;0.021000;(0.005572977900484603, 0.9141568444168906, 0.014329765395472538)
gumbel_l;0.172946;0.020000;(0.9887165824957955, 0.014034414723968713)
gennorm;0.173610;0.019000;(1.1847151262559723, 0.9828119161119607, 0.01741088521979982)
cauchy;0.179253;0.014000;(0.9834757027111177, 0.010432294740201622)
foldcauchy;0.181028;0.013000;(87.00956254093671, 0.07610783980618241, 0.01042839087504031)
laplace;0.187377;0.009000;(0.9830508474576272, 0.01407616359122971)
loglaplace;0.187675;0.009000;(77054.5856063334, -1082.0086809873515, 1082.9917332451232)
dweibull;0.193616;0.006000;(0.9572877762136001, 0.9833333333333332, 0.013997795622300597)
dgamma;0.209011;0.002000;(0.8634168408632634, 0.9833333333333332, 0.01530836282644566)
exponpow;0.212159;0.002000;(17462.974803061734, -310.54161893765195, 311.5383553901801)
kstwobign;0.231463;0.001000;(0.8818206510838931, 0.11385201695416906)
nct;0.429616;0.000000;(286.9888028732497, 31.300898150340466, -1.0440277116458678, 0.06462766158714084)
mielke;0.250035;0.000000;(4.212464226659657, 507.29228696056816, 0.891644635944489, 0.10913516190825065)
ncf;0.469883;0.000000;(72.49273749057073, 198.92875389455781, 116.04690724072012, -0.9575740571682729, 0.7315672242936251)
ncx2;0.521514;0.000000;(0.6411699253963727, 0.02552642823358648, 0.9152542372881355, 0.13841452358486006)
lomax;0.903416;0.000000;(6202788039006.812, 0.9152542372874852, 5175256181487.45)
maxwell;0.234351;0.000000;(0.9133913884025174, 0.04010037705855733)
weibull_min;0.456096;0.000000;(0.9142024155534493, 0.9152542372881355, 0.06273927646652162)
rdist;1.000000;0.000000;(1.30534443211136, 2.301519544957676, 2.5082945494635592e-30)
wald;0.369393;0.000000;(0.9104027600619724, 0.09822865463328223)
pareto;0.426102;0.000000;(305140.6718537735, -20333.797394758676, 20334.712648985016)
pearson3;0.434598;0.000000;(-2.3882418130864176, 0.9882745044158076, 0.014001659416664279)
powerlaw;0.280000;0.000000;(2.994075560387876, 0.9141412872439764, 0.08585871276567081)
tukeylambda;0.345073;0.000000;(1.021268260941438, 0.967208752499451, 0.033488660308986395)
reciprocal;0.485616;0.000000;(0.9761505013871674, 1.06654166695556, 6.925745167202978e-05, 0.9375449405365427)
semicircular;1.000000;0.000000;(2.9096118459041733, 3.423061885783699e-30)
vonmises_line;1.000000;0.000000;(1.3053444605863862, 4.886464193720627, 2.3103903192929018e-31)
vonmises;2557265330612550062706106826752.000000;0.000000;(0.5422231692630014, 0.9835361351393794, 4.0766914324130934e-33)
triang;0.276904;0.000000;(0.9999999040572861, 0.9144248151150404, 0.0857079475838878)
uniform;0.474717;0.000000;(0.9152542372881356, 0.0847457627118644)
truncexpon;0.574267;0.000000;(0.8299447168479612, 0.9152542221802697, 0.10211021474500842)
truncnorm;0.486114;0.000000;(0.9761385209041338, 1.0665286043173732, 6.923091097528404e-05, 0.9375564636510838)
rice;1.000000;0.000000;(223.57770586050867, -3.2043074019438578, 0.018716182146644493)
invweibull;0.238212;0.000000;(157327716.7896706, -3590330.910106601, 3590331.8804024113)
loggamma;0.720000;0.000000;(7.827172525830223e-08, 1.0000000218643956, 1.5446162111904286e-09)
gausshyper;0.352124;0.000000;(1.854882642641335, 0.3087627904232347, 1.4916615428430497, 0.6576836589514303, 0.9067398873415428, 0.09326011265845725)
arcsine;0.510550;0.000000;(0.8950836308277925, 0.1049163691722075)
beta;0.432302;0.000000;(9.762322043011805, 0.7775251537019499, 0.8471171460638354, 0.15288285393616466)
bradford;0.477699;0.000000;(2.6514804274446167e-06, 0.9146828094814501, 0.08531722957189641)
burr;0.242168;0.000000;(6230741.350719782, 0.11686538997621204, -15957.837614892662, 15958.839491553925)
chi;0.466542;0.000000;(0.876363031931469, 0.9152542372881355, 0.07058136177006175)
cosine;1.000000;0.000000;(6.173767779775293, 3.676699213498604e-32)
erlang;0.573368;0.000000;(0.3195417311717872, 0.9152542372881355, 1.6612361262646975)
expon;0.434810;0.000000;(0.9152542372881356, 0.0650013047842416)
exponweib;0.506216;0.000000;(0.23447699368376235, 1.217706517770502, 0.9152542372881355, 0.9828188506362172)
genlogistic;0.720000;0.000000;(1.0106979920616819e-07, 1.000000040731778, 1.9960146211156527e-09)
genpareto;0.815390;0.000000;(-1.4766453553221903, 0.006608855621595359, 1.4668864193645668)
genexpon;0.305691;0.000000;(3.1952983359045066e-07, 2.9423201873785363, 1.811478467890613e-05, 0.9146583989148045, 0.00035194012308931166)
genextreme;0.280000;0.000000;(1.1542207061148755, 0.9810752436489438, 0.021843345638568032)
gamma;0.582851;0.000000;(0.3374351221237478, 0.9152542372881355, 1.5199160930615605)
levy_stable;0.235666;0.000000;(2.0, -0.9999999999999998, 0.9830508474576322, 0.01663838141825564)
genhalflogistic;0.280000;0.000000;(1.1153573142821573, 0.9141746054350783, 0.0957259815791375)
gilbrat;0.369314;0.000000;(0.9138824609485134, 0.061685088131261)
gumbel_r;0.232886;0.000000;(0.9701242864240895, 0.022503982477870443)
halfcauchy;0.404620;0.000000;(0.9152542288304069, 0.0625160964441493)
halflogistic;0.417536;0.000000;(0.9152540937751652, 0.043047456046864226)
halfnorm;0.465094;0.000000;(0.915254207876643, 0.06290973089734711)
halfgennorm;0.437700;0.000000;(1.6805602452231225, 0.9152542350598785, 0.09020801577996576)
anglit;1.000000;0.000000;(2.5805711822319592, 1.4706796853994416e-31)
johnsonsb;0.530225;0.000000;(-1.157466407549296, 0.13235254326579599, 0.8720054555116531, 0.12799454448834693)
johnsonsu;0.489609;0.000000;(5.571795018156672, 0.37091544749743455, 1.0000018152643713, 1.1648662697366766e-09)
ksone;0.474717;0.000000;(1.0247144913140005, 0.9152542295148648, 0.08474580583956531)
levy;0.563765;0.000000;(0.9120707923990987, 0.05329974963985978)
levy_l;0.551455;0.000000;(1.0002089968655057, 0.0006386214154670384)
weibull_max;0.640626;0.000000;(0.31326910080810527, 1.0000000000000002, 1.0843287441990088)
