Distr;D_stats;p_value;Parameters
alpha;0.572187;0.000000;(63.06963428851938, -3.313739096475298, 271.04526901075764)
pareto;0.573323;0.000000;(1.8157924822353464, 0.03085885755015784, 0.5893943024707871)
nct;0.556919;0.000000;(151.96604466898367, 32.99323937146407, -0.19064188986311026, 0.03555259117627026)
ncf;0.564332;0.000000;(15456.443337155462, 42117.34915172033, 4668.839941197102, -3.736973225711586, 3.6277431079290343)
ncx2;0.636751;0.000000;(1.7322684313698942, 0.001525206643456292, 0.6202531645569619, 0.20859070020565418)
nakagami;0.563448;0.000000;(840371.4554372644, -112.87163438590949, 113.85835839611036)
mielke;0.792907;0.000000;(2589615402.482259, 32159404594.534554, -59565787.808205605, 59565788.81278221)
maxwell;0.606546;0.000000;(0.6187716249515502, 0.2155082595678387)
lomax;0.615098;0.000000;(34.23678820641119, 0.6202531645352085, 12.66091035189967)
lognorm;0.565220;0.000000;(0.0006053783424841031, -101.13093905610168, 102.11741888723091)
loglaplace;0.500000;0.000000;(84.23346402726777, -0.22888330138475316, 1.228883300487058)
loggamma;0.978666;0.000000;(9.593669846431458e-09, 1.0000000032722587, 1.2572547835541746e-10)
levy_l;0.672224;0.000000;(1.0000000000000004, 4.644927355031235e-16)
levy;0.633654;0.000000;(0.6111053088236886, 0.31734681911310325)
laplace;0.500000;0.000000;(1.0, 0.013103696162265551)
kstwobign;0.555415;0.000000;(0.4720775968029436, 0.6010126759541805)
ksone;0.978667;0.000000;(1.2436823026581316, 0.6202531011933154, 0.3797469014993182)
johnsonsu;0.830910;0.000000;(1.8493493212230288, 0.6927755227188375, 1.0000000077080955, 5.362988914577592e-09)
johnsonsb;0.976112;0.000000;(-2.220382681580867, 0.13665902869264246, 0.6164389036234847, 0.3835610963765153)
norm;0.562595;0.000000;(0.9868963038377345, 0.06182340799763801)
pearson3;0.572207;0.000000;(1.4073379780368873, 1.0, 1.7380591603276894e-26)
invgauss;0.570167;0.000000;(0.004933489643917469, -0.12034571005130468, 223.98187836360893)
powerlaw;0.978667;0.000000;(3084435227.4084144, -66685980.80302109, 66685981.80302109)
weibull_min;0.627192;0.000000;(1576021360.5810032, -18421303.72563993, 18421304.725118533)
wald;0.499727;0.000000;(0.6059737473269107, 0.556229027923368)
