Distr;D_stats;p_value;Parameters
tukeylambda;0.059349;0.057000;(-0.15293522252057035, 0.8265109512140403, 0.015180887412337758)
weibull_min;0.060352;0.050000;(4.198751233407218, 0.7127288422523175, 0.12272230813271917)
gengamma;0.062713;0.038000;(1.271941502802781, 4.020984139238248, 0.7012358453362622, 0.12516126924245238)
exponweib;0.062970;0.036000;(1.2316451565936202, 4.139794453368211, 0.7010702208394528, 0.12922548998622174)
johnsonsb;0.064846;0.029000;(-1.187946764199282, 3.7227016774840656, 0.5566510993525686, 0.46327609026209726)
beta;0.065060;0.028000;(28.06791267425693, 18.65866730869163, 0.5713373375675903, 0.4211477686911509)
gumbel_l;0.065268;0.027000;(0.8390780066928858, 0.028752397002038618)
gompertz;0.065907;0.025000;(0.03472170688736637, 0.7329683454563345, 0.03096477794399248)
pearson3;0.066234;0.024000;(-0.1350007017400327, 0.8243154981433432, 0.029863070070385044)
loggamma;0.066556;0.023000;(57.70399229716823, -0.08966324755936218, 0.22586120146588295)
powernorm;0.066943;0.022000;(1.9471001589982584, 0.8438785406208803, 0.03591921706345628)
powerlognorm;0.067052;0.021000;(3.075576211054604, 0.037935559511245935, -0.23702577360250693, 1.09622549032427)
dweibull;0.067269;0.021000;(1.248637807114271, 0.8256195894248949, 0.025434308180840685)
weibull_max;0.069272;0.016000;(3.6715551243526425, 0.924453360310761, 0.1109171975747463)
exponpow;0.070992;0.012000;(2.4335883290322204, 0.7307546757415971, 0.12431465151052043)
nakagami;0.073535;0.009000;(2925.0578068359637, -2.411307265588226, 3.235796764851022)
gennorm;0.073148;0.009000;(2.0346453466130923, 0.8242849708512741, 0.042599384763551275)
exponnorm;0.073724;0.008000;(6.0503253612754885e-06, 0.8243144313501605, 0.029859441393588173)
t;0.073717;0.008000;(3724728.0244806604, 0.8243147981942851, 0.02986044921475961)
rice;0.073745;0.008000;(72.88120961266296, -1.3521867577685875, 0.029860849894276217)
johnsonsu;0.073570;0.008000;(-991851.675772253, 18843257.952719375, -29621.589751129468, 562508.6206027458)
levy_stable;0.073729;0.008000;(1.9999846300056188, -0.7070191097816985, 0.8243147150865713, 0.021112375289165545)
norm;0.073720;0.008000;(0.8243149195604627, 0.029859543462141935)
f;0.073650;0.008000;(348787.97181564505, 419650.85629153927, -8.409942454392112, 9.234238445058075)
fatiguelife;0.074853;0.007000;(0.009628477758694867, -2.2820565265122355, 3.106246558324779)
lognorm;0.076215;0.006000;(0.008730504737608415, -2.5831044990391874, 3.407244434074048)
dgamma;0.076174;0.006000;(1.347270102399253, 0.8256226208597044, 0.01764205845805537)
chi;0.077364;0.005000;(187.2594028355985, 0.24398439751711254, 0.04245657586379355)
gamma;0.079097;0.004000;(642.1935590486096, 0.06562186696240913, 0.0011812373295685625)
erlang;0.078515;0.004000;(687.3253877931581, 0.038592693300419326, 0.0011430338806005542)
invgamma;0.078535;0.004000;(2550.4564294286974, -0.6876564021295191, 3854.53791607321)
logistic;0.080597;0.003000;(0.82474322126361, 0.017095644995497525)
mielke;0.080164;0.003000;(50.402205838292076, 63.765627755452456, -0.17221107643544775, 1.002703345944251)
alpha;0.079563;0.003000;(47.52538301806493, -0.6056730405930373, 67.93087973798072)
