Distr;D_stats;p_value;Parameters
gumbel_l;0.059464;0.546000;(0.8362548986592272, 0.026818883057339944)
gompertz;0.060133;0.532000;(0.06597518300102562, 0.7506539080694252, 0.030230464855946416)
exponpow;0.062400;0.484000;(2.1018785365587793, 0.7469866736245947, 0.1035849671755078)
gengamma;0.066629;0.401000;(0.9223355600435892, 4.184108633353129, 0.7244454390696293, 0.1109603302800655)
exponweib;0.067357;0.388000;(1.0247473151998625, 4.138274872594488, 0.7193715640675051, 0.11294676710328785)
powerlognorm;0.070094;0.340000;(4.151483850380412, 0.04347261285832926, -0.09609068847441482, 0.9613023423712015)
powernorm;0.070662;0.331000;(2.4626189090692066, 0.8477978542007198, 0.03533258906194653)
johnsonsb;0.070799;0.329000;(-12.94429334094086, 10.412173356702649, -0.4638583739452944, 1.6585135742786212)
loggamma;0.070887;0.327000;(37.924272216117586, 0.20859893823981335, 0.1695056257238871)
pearson3;0.070890;0.327000;(-0.15875639966303606, 0.8226071151401968, 0.02770510386726869)
johnsonsu;0.071471;0.318000;(2.5631315222521347, 6.439194325100818, 0.8900630062013616, 0.16309344108693014)
weibull_max;0.071602;0.316000;(3.5869362558434617, 0.9139680632896501, 0.10127321172040155)
beta;0.071728;0.314000;(258.0476590560055, 73.86424979764394, -0.12128172269873046, 1.2140368904885268)
gausshyper;0.072702;0.299000;(11.413176116372076, 17.906900627039953, -11.22854659250128, 16.18795755250278, 0.6314204083431461, 0.3507463068187192)
dweibull;0.075790;0.254000;(1.1888173710776857, 0.8238792650894453, 0.02293151953569516)
fatiguelife;0.078969;0.214000;(0.008104100183983068, -2.5962334243055434, 3.4188442814630875)
norm;0.079235;0.210000;(0.8226075138915702, 0.02770722041526913)
exponnorm;0.079235;0.210000;(0.0006328621004898249, 0.8225899959015082, 0.027707174627464082)
t;0.079231;0.210000;(558406.0995000186, 0.8226078351586676, 0.027707128157873132)
