Distr;D_stats;p_value;Parameters
alpha;0.167758;0.000000;(89.88127144353786, -0.7417099243460383, 154.69940306360468)
loglaplace;0.150770;0.000000;(35073.573406091455, -494.8707435420906, 495.8537943899396)
nct;0.428884;0.000000;(207.52513345460028, 32.17934247343486, -0.8123911843856044, 0.05565376259731249)
ncf;0.471596;0.000000;(90.62025129854885, 128.3908392064597, 1.9824090837335655, -0.9653773472334359, 1.9009567906405698)
ncx2;0.225428;0.000000;(19.654681268043092, 1.9004344267969196e-09, 0.8877850436154385, 0.004673503055863908)
nakagami;0.161659;0.000000;(13214.12625452405, -3.381245023032924, 4.361042586082719)
mielke;0.293032;0.000000;(7.3203155851348445, 5125.933758343239, 0.828224400460861, 0.17193951786932216)
maxwell;0.256264;0.000000;(0.8903980968140983, 0.05315881833279333)
lomax;0.898564;0.000000;(10052356405085.744, 0.8906249999992959, 10279598007701.86)
lognorm;0.165730;0.000000;(0.004331057363796166, -3.3752343855791374, 4.354787975608895)
loggamma;0.700000;0.000000;(6.433079337977072e-09, 1.0000000036732064, 1.3094045768897405e-10)
pareto;0.422291;0.000000;(8.50341478337138, 0.16635369536157762, 0.7242713046328917)
logistic;0.153850;0.000000;(0.9813641126025907, 0.010557824066432296)
levy_stable;0.242762;0.000000;(2.0, -0.9999999999999998, 0.9830508474576323, 0.017183902120493547)
levy_l;0.428530;0.000000;(1.0005424316226321, 0.0017119251068096189)
levy;0.607851;0.000000;(0.8888638287455279, 0.08138150060201166)
laplace;0.151090;0.000000;(0.9830508474576272, 0.014162881429232806)
kstwobign;0.255136;0.000000;(0.8694054732492609, 0.12877189430703775)
ksone;0.517376;0.000000;(1.225679631224538, 0.8906249975354497, 0.10937500420856347)
johnsonsu;0.389716;0.000000;(2.895749926269916, 0.20254376584973044, 1.0000000014858028, 1.4638115654902989e-09)
norm;0.163840;0.000000;(0.9796423095621553, 0.01888004607068213)
pearson3;0.300000;0.000000;(-2.5649115859969833, 0.9793410078322531, 0.026494244183037502)
