Distr;D_stats;p_value;Parameters
loggamma;0.052366;0.785000;(3.3841033663752027, 0.8649454925263855, 0.06328846357300326)
powernorm;0.052517;0.782000;(50.20629333384271, 1.1127728553091847, 0.08017214697687852)
johnsonsu;0.053212;0.769000;(11.965698215824334, 5.036117993934501, 1.1143192235219728, 0.03345226331021374)
weibull_min;0.054001;0.753000;(7.835502422927313, 0.6884018129822969, 0.25933093351151915)
pearson3;0.055133;0.731000;(-0.6481841723274807, 0.9322931375033529, 0.03731872827917268)
gengamma;0.055591;0.721000;(0.7395966703780658, 7.822466908315705, 0.7313076608974964, 0.22730842013722424)
exponweib;0.056378;0.705000;(0.7188362834962094, 7.669223710896606, 0.7371312581226752, 0.21920805101182922)
gumbel_l;0.058385;0.664000;(0.9499746428058621, 0.031981970471558624)
mielke;0.061144;0.607000;(35.99692587652247, 63.49810021551872, -0.1259376809776851, 1.0762564338131528)
burr;0.061299;0.604000;(65.84724636050083, 0.5700465024135091, -0.16808028814887638, 1.118256518531133)
johnsonsb;0.062439;0.581000;(-1.4551126156719598, 1.7257008079619085, 0.7158877066136087, 0.31521097027058714)
weibull_max;0.064842;0.532000;(2.1742293133792936, 1.0084785340116376, 0.08597556636033446)
genextreme;0.064836;0.532000;(0.459915848128158, 0.9225033194804816, 0.03954163531745072)
genlogistic;0.065004;0.529000;(0.6595264005465329, 0.9463413108948795, 0.017901102575884297)
beta;0.066234;0.505000;(8.1646077509271, 3.1475918277958366, 0.7220533385373049, 0.2913833089117327)
powerlognorm;0.066728;0.495000;(11.26301743785865, 0.048787366345781596, -0.3995574229392621, 1.4389332169423863)
exponpow;0.068036;0.471000;(3.946502366925782, 0.7643795328494456, 0.20394834530995126)
fisk;0.078562;0.297000;(89432684.5998661, -1894718.722723859, 1894719.6563253095)
logistic;0.078548;0.297000;(0.9336016524515326, 0.021187991718864225)
dgamma;0.079957;0.278000;(1.5461984341823176, 0.9369579543398789, 0.019377834214771433)
betaprime;0.079954;0.278000;(24023.069851381537, 14769.416072842967, -2.598745321835705, 2.1709951685097915)
gennorm;0.081759;0.254000;(2.0997338080789203, 0.9321109283827617, 0.05342050739453874)
tukeylambda;0.081779;0.254000;(0.11429459856576277, 0.9325607663840374, 0.02456787321633021)
