Distr;D_stats;p_value;Parameters
cauchy;0.142246;0.011000;(0.9818916666720593, 0.008677732123134017)
laplace;0.146290;0.008000;(0.9821428571428571, 0.013483459080675438)
loglaplace;0.152662;0.005000;(480.3666024758927, -5.568933314671224, 6.5512563184774475)
gennorm;0.160453;0.003000;(0.4944327370239061, 0.9833333333317973, 0.0022859362277619887)
foldcauchy;0.158043;0.003000;(116.27939150724728, -0.1817878485440383, 0.010002934080211245)
dgamma;0.167358;0.002000;(0.774789729772857, 0.9836065573770493, 0.015042046877466617)
mielke;0.180170;0.001000;(47.109029700128154, 129.62628260839796, 0.19879589507425247, 0.7917085262685719)
dweibull;0.175212;0.001000;(0.7992346199999686, 0.9833333333333332, 0.01570563003076072)
genlogistic;0.180013;0.001000;(0.3891629392758126, 0.9898749921886425, 0.00625829015506235)
burr;0.180000;0.001000;(230.0185803243901, 0.37574086751193403, -0.43239007034278043, 1.4225895989886745)
tukeylambda;0.396500;0.000000;(1.1639592126203837, 0.9602464936689747, 0.04627145992795978)
lomax;0.933837;0.000000;(41556429547196.63, 0.9206349206348565, 48180600352925.734)
norm;0.234223;0.000000;(0.9768645455052216, 0.017899066257898756)
nct;0.429903;0.000000;(336.01595746788155, 11.043334353793064, 0.43639752287688194, 0.05012189447747674)
ncf;0.495661;0.000000;(26.450137540416083, 255.03438533457302, 10.979744163062248, -0.9082264887043525, 1.3226390257409557)
ncx2;0.690763;0.000000;(0.5124763865171068, 1.0631143800735603, 0.9206349206349205, 0.7494694325633167)
nakagami;0.234598;0.000000;(37182.643929474885, -5.950948212592522, 6.927810574850604)
wald;0.330692;0.000000;(0.9173504136435779, 0.08239988266125131)
maxwell;0.271974;0.000000;(0.9193112908207769, 0.034792650643547626)
lognorm;0.235563;0.000000;(0.005981790056474414, -2.00988351907657, 2.986691107872848)
pearson3;0.293328;0.000000;(-2.1466200585632826, 0.9803579791237693, 0.021081978001817776)
weibull_min;0.186046;0.000000;(45.302529658547876, 0.328269267978438, 0.6567328415294467)
loggamma;0.187721;0.000000;(0.9673187873693967, 0.9857694344925435, 0.014083477911231691)
logistic;0.211034;0.000000;(0.9782478453318385, 0.010082276124900204)
levy_stable;0.191402;0.000000;(1.6675774012771565, -0.9999786598145866, 0.97496741325216, 0.010907840171690903)
levy_l;0.250053;0.000000;(1.001954694002794, 0.007464708442776506)
levy;0.542451;0.000000;(0.9185535724017729, 0.04494887899111122)
pareto;0.377534;0.000000;(12.40314488072713, 0.24532661361773178, 0.6753083070154022)
powerlaw;0.248000;0.000000;(2.8285718386530103, 0.9112200137197556, 0.08877998629355598)
truncnorm;0.412210;0.000000;(0.9846234464893575, 1.0695083034070982, 3.80533812073999e-05, 0.9349735342466237)
rice;0.290376;0.000000;(1.2946945766608655, 0.9202382940352387, 0.03026770550912815)
uniform;0.404000;0.000000;(0.9206349206349206, 0.07936507936507942)
truncexpon;0.469113;0.000000;(0.718574374902254, 0.9206338612364264, 0.11044944771604805)
triang;0.247966;0.000000;(0.999999939730867, 0.9196056018923291, 0.08039577874747146)
t;0.224468;0.000000;(19.23911287417426, 0.9774646498116553, 0.01695869792737815)
semicircular;1.000000;0.000000;(3.0432328394503743, 6.785840602257119e-35)
recipinvgauss;0.246681;0.000000;(0.0065726559170283215, 0.7447058573547016, 0.0015152704153375126)
rayleigh;0.325501;0.000000;(0.9700565023984083, 0.013541159917984795)
powerlognorm;0.228896;0.000000;(2.164510759199167, 0.02466780300545071, 0.09470324604676973, 0.8956873450702679)
reciprocal;0.411687;0.000000;(0.9846156718358403, 1.0694998386258834, 3.7862372835575135e-05, 0.9349811061110709)
