Distr;D_stats;p_value;Parameters
levy_stable;0.038520;0.620000;(2.0, -1.0, 0.8666666666666765, 0.032593844196209726)
weibull_min;0.043652;0.460000;(4.483184413552372, 0.6815064772917228, 0.20009307564450454)
exponpow;0.045248;0.414000;(2.5829569439227487, 0.7140399996208657, 0.19709349674624738)
beta;0.046636;0.377000;(17.176788272930416, 10.947009000451896, 0.5530927256141833, 0.509262153832588)
johnsonsb;0.046781;0.373000;(-1.0957546186181741, 2.978262342073153, 0.5225354682549058, 0.5803446234982915)
gengamma;0.047276;0.360000;(1.4568295830664881, 4.257742644336151, 0.64791322049168, 0.21109204907315357)
weibull_max;0.047358;0.358000;(3.1682407085207993, 0.9978188921856491, 0.14925529318524497)
exponweib;0.047481;0.355000;(1.3461053052334826, 4.458108449497761, 0.6508136404557681, 0.21939197656126594)
pearson3;0.049973;0.296000;(-0.1798497943257204, 0.8641266372047163, 0.04600796677803034)
powerlognorm;0.050361;0.288000;(13.85033380222627, 0.16601606040147288, 0.3567516781333113, 0.6698402280067199)
loggamma;0.050671;0.281000;(34.00285910327987, -0.07095415750525447, 0.266277989064568)
johnsonsu;0.050919;0.276000;(16.168355346643636, 14.24664571287186, 1.3963545542985187, 0.3806924586623579)
powernorm;0.051401;0.266000;(2.321048202702074, 0.9029676689503213, 0.057841456078779496)
gumbel_l;0.056152;0.181000;(0.8868178819535868, 0.04355517765996406)
gennorm;0.058561;0.147000;(2.049391933274321, 0.8640511753876492, 0.06585294632462696)
f;0.058870;0.143000;(641800.120487554, 1799076.6752047031, -21.539517900785345, 22.403688638555337)
t;0.059393;0.136000;(3510635.104323596, 0.8641260589250443, 0.04599216416484671)
norm;0.059393;0.136000;(0.864125708888742, 0.04599303196659837)
exponnorm;0.059392;0.136000;(7.953961490680581e-05, 0.8641221100551825, 0.04599324296824725)
tukeylambda;0.059563;0.134000;(0.1587453539945401, 0.8639221236359883, 0.03251877938192893)
nakagami;0.060300;0.126000;(9023.072321398076, -7.874301050383708, 8.738467170004734)
lognorm;0.060448;0.124000;(0.006847278131615326, -5.8399228373952905, 6.703927462078051)
fatiguelife;0.060875;0.119000;(0.008398267779314794, -4.615871645973826, 5.479772159387192)
mielke;0.062604;0.101000;(28.450634286252466, 38.69657068102066, -0.04100337045481796, 0.9171305893986322)
burr;0.062908;0.098000;(45.200729970926176, 0.7575460813960821, -0.20637206775393163, 1.081467051874131)
gamma;0.063334;0.095000;(473.8435332158971, -0.14327466789001375, 0.00212603644694452)
erlang;0.063783;0.091000;(493.25463235711766, -0.1670997056436061, 0.0020904204511256637)
chi;0.063800;0.090000;(146.58803133314285, 0.07313879663596906, 0.06542102921352808)
recipinvgauss;0.064036;0.088000;(0.005700354394952454, 0.24460420458154175, 0.0035151952168806944)
genlogistic;0.064343;0.086000;(0.9026570024362763, 0.8688434136427112, 0.02537733414531812)
logistic;0.066232;0.071000;(0.864771066451007, 0.02634780524323431)
fisk;0.066230;0.071000;(148658023.59304178, -3916755.2341422457, 3916756.098913706)
invgamma;0.066563;0.069000;(629.9967355583369, -0.30263519774443814, 733.8702657034473)
betaprime;0.066946;0.066000;(1111.8099780193095, 230.37991737812803, 0.14674607622132227, 0.1480467157493313)
chi2;0.069236;0.052000;(234.0766679643158, 0.3532506624929343, 0.0021805718977735223)
alpha;0.070288;0.047000;(36.10055763015889, -0.8143772258484048, 60.53155601371789)
hypsecant;0.071651;0.040000;(0.8650868264764449, 0.0315051357675739)
invgauss;0.077442;0.021000;(0.01019780962859556, 0.39356644399699015, 46.08072383066434)
loglaplace;0.077370;0.021000;(24.280607497850482, -0.028683572821112557, 0.8953502559260162)
laplace;0.079477;0.017000;(0.8666666666666667, 0.03663731754830748)
dgamma;0.080443;0.015000;(1.378193484628858, 0.8630642720305816, 0.026667223355300675)
nct;0.084881;0.008000;(229.12235830254167, 31.449293580860683, -0.18739165875049113, 0.03344457170429935)
dweibull;0.088058;0.006000;(1.2960124756527196, 0.8606247910165833, 0.039904196341784215)
triang;0.090017;0.004000;(0.5863785839034895, 0.7184533623877095, 0.26697474239443464)
cauchy;0.089906;0.004000;(0.8664078046396995, 0.027854484197175705)
foldcauchy;0.094285;0.002000;(35.501161395178656, -0.1232082172199971, 0.02787581209316347)
gumbel_r;0.096817;0.002000;(0.8408074308042254, 0.04719778084590692)
invweibull;0.098418;0.001000;(134230.7695309019, -6327.21193256794, 6328.052535404456)
truncnorm;0.262588;0.000000;(0.9023393199204889, 1.2343553799273626, 0.00025357878196048276, 0.7968672605551899)
arcsine;0.296964;0.000000;(0.719298245614035, 0.26467696417905856)
powerlaw;0.226009;0.000000;(1.4882989844475358, 0.7189092339768812, 0.2649617341232232)
wald;0.280274;0.000000;(0.713850801993175, 0.21393157839283178)
rdist;1.000000;0.000000;(1.305344397160106, 2.0432907729782563, 7.770806684121737e-30)
reciprocal;0.259033;0.000000;(0.9115569681805488, 1.246957373040496, 0.00023793775564015835, 0.7888265093450555)
rayleigh;0.109243;0.000000;(0.796533058522135, 0.057810575905550894)
bradford;0.301994;0.000000;(0.9472413130402477, 0.7192982451885945, 0.2645727443450242)
vonmises_line;1.000000;0.000000;(1.3053444312472746, 4.628234737355724, 2.9920215831836376e-30)
cosine;1.000000;0.000000;(5.8475112811613545, 1.2760614517616483e-31)
semicircular;1.000000;0.000000;(2.539261460101871, 7.229551855981776e-31)
vonmises;183604005532819199492372824064.000000;0.000000;(1.4092931886538431, 0.8880233043734869, 1.3631381876895052e-31)
expon;0.344940;0.000000;(0.7192982456140351, 0.14482746327470686)
truncexpon;0.319000;0.000000;(0.8274353470138289, 0.7192982299239381, 0.31975036167734794)
uniform;0.222482;0.000000;(0.7192982456140351, 0.2645727221279004)
rice;1.000000;0.000000;(201.85672489541327, -8.417614600706255, 0.04598125852501633)
halfcauchy;0.341342;0.000000;(0.7192982447607694, 0.14337271192164663)
pareto;0.388063;0.000000;(12503387.01796498, -1597369.6735467939, 1597370.3928450395)
levy_l;0.468255;0.000000;(0.9871040996214344, 0.09403111963645425)
halfnorm;0.329816;0.000000;(0.7192982395325456, 0.15197908694385018)
halfgennorm;0.341081;0.000000;(1.3920234292273719, 0.7192982428005997, 0.18601718345620807)
anglit;1.000000;0.000000;(2.2543146836180066, 5.104245807046593e-31)
gompertz;0.351302;0.000000;(1.553893887954172, 0.71929823233204, 0.2641922086606673)
gilbrat;0.284260;0.000000;(0.7184155763852873, 0.13602461129607468)
ksone;0.222482;0.000000;(1.0621407106643677, 0.7192982451478721, 0.2645727291685093)
kstwobign;0.131597;0.000000;(0.6594626234751454, 0.23622984047753923)
levy;0.515563;0.000000;(0.7157405906159826, 0.12104203373533742)
genhalflogistic;0.163640;0.000000;(0.7245945478982012, 0.7192982415883116, 0.19175008287316755)
halflogistic;0.320085;0.000000;(0.7192982429770044, 0.09606290634001233)
gausshyper;0.187076;0.000000;(1.2004355569609875, 0.8703897251300344, 0.9434217830152101, 0.9314191007148848, 0.7192780098337745, 0.264592957908161)
genextreme;0.476477;0.000000;(1.654468101755186, 0.5955676149120094, 0.6424355110617023)
genexpon;0.200078;0.000000;(4.538039914723107e-06, 0.06974673548622279, 4.1965040822982136e-05, 0.7192466423731266, 0.0001848091746861758)
lomax;0.730677;0.000000;(1132567653109.9595, 0.7192982456128125, 879117958690.1316)
maxwell;0.142214;0.000000;(0.7181942590830817, 0.08834629482027226)
genpareto;0.616318;0.000000;(-1.505098283270725, 0.006441494653929377, 1.4711274219629673)
foldnorm;0.329830;0.000000;(0.12659151118968376, 0.7192982454641055, 0.15076224624838658)
ncx2;0.265623;0.000000;(3.323766290837135, 3.014739916697433e-05, 0.7190814307798825, 0.04377495474092266)
ncf;0.402057;0.000000;(47.10637311763551, 83.60369760496167, 4.33988367199121e-05, -0.8234217876804186, 1.6872603738688134)
