Distr;D_stats;p_value;Parameters
weibull_min;0.025772;0.885000;(4.425304665236695, 0.6390059533712674, 0.2292555518361447)
powernorm;0.035331;0.548000;(1.3946455416496366, 0.8647867522527068, 0.057533008186162846)
beta;0.035649;0.537000;(14778.186172440222, 992.1334946174352, -24.499201889090585, 27.049297135635612)
powerlognorm;0.035706;0.535000;(2.3598882470754, 0.04427608461756567, -0.6463139558225918, 1.539613586847945)
loggamma;0.035727;0.534000;(307.31325016427365, -4.396093652605202, 0.9158672481123045)
pearson3;0.035881;0.528000;(-0.05428537651247679, 0.8483821626884746, 0.05228683298337388)
johnsonsb;0.036285;0.514000;(-17.95061141950149, 23.09573387067823, -2.983992028057549, 5.594651304705094)
weibull_max;0.036741;0.498000;(3.6836599170128492, 1.0246511449134101, 0.19503210805794177)
exponweib;0.036871;0.493000;(7.0488363749262986, 11.539204894223406, -0.44505364613215803, 1.200710585905428)
levy_stable;0.037546;0.470000;(1.9870974678508133, -0.9999778338768714, 0.8482699179761062, 0.036726177535885696)
johnsonsu;0.038889;0.425000;(0.24646249709604828, 3.875331505930861, 0.8612507735284866, 0.19555010897037955)
foldnorm;0.039211;0.415000;(3.5933116798039997, 0.6603773389603806, 0.05232063702400212)
exponnorm;0.039260;0.413000;(4.661322734141732e-06, 0.848381471091685, 0.05228933923998316)
rice;0.039274;0.413000;(69.25132558604699, -2.7724711818491627, 0.05228024057936953)
norm;0.039260;0.413000;(0.8483817475715175, 0.05228883550745504)
nakagami;0.039455;0.407000;(1646.8021974244557, -3.404167573964389, 4.252925487305631)
f;0.039926;0.393000;(267182.6664361352, 228760.0909803902, -12.131692815011867, 12.979974996622246)
lognorm;0.040067;0.388000;(0.011555100331937185, -3.6736819110128263, 4.521949785422361)
t;0.041229;0.354000;(23.680137390772437, 0.8484815113237776, 0.05004323252797806)
fatiguelife;0.041750;0.339000;(0.008359297583179687, -5.3940675141576016, 6.242128806260393)
chi;0.041923;0.334000;(153.98679450239354, -0.07282029128725792, 0.07436132872434928)
tukeylambda;0.042122;0.328000;(0.09418080352970669, 0.8484429681628294, 0.03358323436730099)
erlang;0.042794;0.310000;(1541.070858439935, -1.208297649765798, 0.0013345319438166593)
gengamma;0.042881;0.308000;(40.61920682616134, 2.5347757772138317, 0.004921165288151302, 0.19613095997856383)
gennorm;0.042933;0.307000;(1.8048746233259831, 0.8484574959121597, 0.06974298629306855)
gamma;0.043091;0.302000;(1527.5737289666076, -1.1962933788288819, 0.0013384506896972452)
betaprime;0.044566;0.266000;(4452.785968556802, 1731.3773706274583, -1.0165461835461023, 0.7247169938189939)
mielke;0.045951;0.234000;(43169230.97196436, 44432205.21562335, -1304954.475590278, 1304955.3254570758)
fisk;0.046615;0.220000;(442722.4413326423, -13099.722242925809, 13100.570822831207)
logistic;0.046671;0.219000;(0.8485732954974444, 0.029590070673124476)
recipinvgauss;0.046805;0.217000;(0.005531029540654235, 0.13490064761803722, 0.00392843056234639)
genlogistic;0.047051;0.212000;(1.0188589067889346, 0.8477291039814823, 0.029781928243071156)
burr;0.048225;0.189000;(13536.310464575976, 0.9673138766115761, -392.3620484886851, 393.2121349038979)
gausshyper;0.050720;0.148000;(4.978680587559882, 0.020982785492071106, -4.043537453358777, -0.9803457288889177, 0.6582435561163715, 0.3417564438836285)
alpha;0.051379;0.138000;(36.72033411483065, -1.083194613666195, 70.86285884038972)
invgamma;0.052799;0.119000;(463.0095019274132, -0.28430938946825346, 523.1499249971989)
hypsecant;0.054048;0.104000;(0.8486358694493218, 0.035376446744943835)
dgamma;0.056619;0.078000;(1.3479432631320756, 0.8493028370512301, 0.030608574762022056)
invgauss;0.059220;0.058000;(0.011404011867900469, 0.3473472040464173, 43.912027469927196)
dweibull;0.060742;0.048000;(1.2424160408226956, 0.8512968275688513, 0.0441808770109645)
exponpow;0.062512;0.038000;(2.715909846622559, 0.6574936316908113, 0.24708331461409594)
gumbel_l;0.071403;0.012000;(0.8744501159005749, 0.05200677714631752)
loglaplace;0.074588;0.007000;(21.985952331014133, -0.061117512717598396, 0.9096023612091579)
nct;0.076086;0.006000;(287.58230577010465, 30.73751011927686, -0.4231645086242529, 0.04129327051749746)
laplace;0.076094;0.006000;(0.8484848484848485, 0.04125520305870971)
cauchy;0.075501;0.006000;(0.8488603836659232, 0.03132388650439677)
gumbel_r;0.081309;0.003000;(0.8220759976895248, 0.054115121960539934)
rayleigh;0.083721;0.002000;(0.7381713286176499, 0.08625676427015079)
vonmises_line;1.000000;0.000000;(1.3053444236642846, 4.548057101582623, 3.9351316245965714e-29)
cosine;1.000000;0.000000;(5.652011621894127, 8.440119300008687e-31)
powerlaw;0.230081;0.000000;(1.1087024244852732, 0.6603408475632833, 0.3396591607560942)
arcsine;0.330982;0.000000;(0.6603065644050452, 0.3396934355949549)
wald;0.299250;0.000000;(0.6552713698184566, 0.2846048621551245)
rdist;1.000000;0.000000;(1.3053411697659296, 1.9630530385991398, 1.5091349519801826e-29)
reciprocal;0.314394;0.000000;(0.7785308383090295, 1.179431070261209, 0.000844914540541258, 0.8471500553197523)
chi2;0.497212;0.000000;(1.0550787242673236, 0.6603773584905659, 0.17444469080624192)
vonmises;1710229366365946083092369244160.000000;0.000000;(1.6119543646874268, 0.8719064459973802, 2.1440880422319575e-32)
semicircular;1.000000;0.000000;(2.4396226415094393, 1.8194939336343115e-44)
triang;0.123702;0.000000;(0.5837491961992902, 0.6598503117151293, 0.34226760787448957)
expon;0.386205;0.000000;(0.660377358490566, 0.18800438908095152)
truncnorm;0.309702;0.000000;(0.7785095794292729, 1.1793989938850444, 0.0008451132523332008, 0.8471729192841935)
bradford;0.353493;0.000000;(1.0854262792672853, 0.66037732648161, 0.33962268282229946)
uniform;0.267230;0.000000;(0.660377358490566, 0.339622641509434)
truncexpon;0.360966;0.000000;(0.8177638095674911, 0.6603149621672133, 0.4153828206397213)
ncx2;0.452097;0.000000;(1.4367175514473223, 1.968016165433711e-08, 0.6603773584905659, 0.12594024963265185)
pareto;0.378139;0.000000;(2.9241351448349397, 0.1488089543320959, 0.5115684036982524)
levy_l;0.488102;0.000000;(1.0048533900957515, 0.12375624585206552)
halflogistic;0.361185;0.000000;(0.6603773487813496, 0.12391836433982523)
halfnorm;0.372466;0.000000;(0.6603773462343312, 0.1951926754745365)
halfgennorm;0.331685;0.000000;(11.043241428543936, 0.6603773584892629, 0.29853576949848404)
anglit;1.000000;0.000000;(2.117719886605615, 3.376047720003475e-30)
gompertz;0.376363;0.000000;(1.3442250377292742, 0.6603773559856614, 0.3139832033951784)
ksone;0.267230;0.000000;(1.078812010758344, 0.6603773411645386, 0.33962266359526777)
kstwobign;0.099798;0.000000;(0.6053219904127469, 0.2818857382784384)
levy;0.528514;0.000000;(0.6567252532621995, 0.16596400152275578)
gilbrat;0.295885;0.000000;(0.6595831496447111, 0.1797296882695921)
ncf;0.403322;0.000000;(40.3959676560647, 168.2868899952693, 17.6760837861177, -0.8135768775409351, 1.1474476881069138)
genhalflogistic;0.348520;0.000000;(1.0960088889647412, 0.6601075034723278, 0.3725251974867462)
genextreme;0.334310;0.000000;(1.5304453013207904, 0.7577504635265633, 0.3707496648429107)
genexpon;0.274566;0.000000;(11716.539560009402, 150762.38591703225, 86621.8398606712, 0.660377356956052, 14604.20251750869)
lomax;0.383879;0.000000;(55.99704214946951, 0.6603773584854793, 10.550098645813296)
maxwell;0.153085;0.000000;(0.6597614117780848, 0.11299495184505134)
genpareto;0.581521;0.000000;(-1.4766453553221903, 0.006608855621595359, 1.4668864193645668)
foldcauchy;0.096493;0.000000;(5.971490101898155, 0.6603773563856519, 0.031571799370184804)
halfcauchy;0.334898;0.000000;(0.6603773307675214, 0.18142172006054863)
invweibull;0.092010;0.000000;(367726166.6982518, -20580299.004750326, 20580299.82774394)
