Distr;D_stats;p_value;Parameters
erlang;0.061622;0.921000;(302.51742440915854, 0.3349526147196036, 0.0019879781789480947)
dweibull;0.062348;0.915000;(1.3391099050743946, 0.9370230240253927, 0.02976671906287348)
gamma;0.062458;0.914000;(314.8511139432706, 0.3212332397706307, 0.0019531424923680016)
betaprime;0.062899;0.910000;(228.83629855614754, 2107.738017850817, 0.43606200192263866, 4.605327688475727)
invgamma;0.063312;0.906000;(3047.111786794151, -0.9608842459243514, 5778.736433608812)
nakagami;0.063454;0.904000;(18456.884480741763, -8.321765966783321, 9.258089386060064)
tukeylambda;0.063477;0.904000;(0.13223988243337176, 0.9364284200046187, 0.02317265020347361)
fatiguelife;0.063580;0.903000;(0.004457840720116603, -6.649198781854221, 7.585592578835076)
f;0.063769;0.901000;(1155138.5496612638, 719993.1221544659, -15.09915474396648, 16.035358654073526)
norm;0.063912;0.900000;(0.936290968057983, 0.033956570098717415)
exponnorm;0.063913;0.900000;(0.0006359516711241697, 0.9362692831970767, 0.03395657042165316)
t;0.063888;0.900000;(976.6146824206879, 0.9363099923314759, 0.03392179032392289)
chi;0.064710;0.892000;(19.678152094888127, 0.7205506514655886, 0.049192279663050696)
gennorm;0.064869;0.890000;(2.180076694650727, 0.9355673757249954, 0.05005007001968629)
gengamma;0.066067;0.877000;(82.07765716952883, 3.8364656864110875, -0.23320525314341162, 0.37112187307446054)
alpha;0.066111;0.877000;(52.67598301665252, -0.8756555386479452, 95.39301307434985)
lognorm;0.066444;0.873000;(0.004487486962421131, -6.6023338209647005, 7.538384208180359)
recipinvgauss;0.069216;0.841000;(0.0055671657902898325, 0.4621665602923595, 0.002627435459294721)
invgauss;0.069953;0.831000;(0.009219743000728472, 0.5647623906569699, 40.296331884099374)
dgamma;0.070616;0.823000;(1.5265503787146024, 0.9370577734689028, 0.017950094615513095)
powerlognorm;0.072614;0.797000;(3.519665391915007, 0.0035900990073737564, -11.84979758684706, 12.8297419196541)
genextreme;0.085262;0.616000;(0.45399103230457194, 0.9271486873145163, 0.036387159794724566)
weibull_max;0.085261;0.616000;(2.202470020224245, 1.0072941400631255, 0.08014569136395483)
logistic;0.086589;0.597000;(0.9383749253976055, 0.019447858486723705)
fisk;0.086597;0.596000;(99252097.14554611, -1930234.513827663, 1930235.452203149)
beta;0.089504;0.555000;(11.013825419732656, 3.768267683226071, 0.705884783867337, 0.3092289751474659)
gausshyper;0.089508;0.555000;(11.332346762519435, 3.768590876336524, 0.33792901629549726, 5.00698186850105, 0.7047025694758652, 0.3104147659736793)
johnsonsb;0.091293;0.529000;(-1.564927843707558, 1.775632547695885, 0.7282854022055774, 0.2993260995615828)
exponpow;0.095498;0.472000;(3.576240348786299, 0.7979236713584956, 0.17076866660131207)
pearson3;0.098497;0.433000;(-0.6958389269238636, 0.9362889677252786, 0.03420893875687227)
exponweib;0.098683;0.431000;(1.015489122886903, 10.802120121468654, 0.6318459124041118, 0.31835661039930363)
weibull_min;0.098642;0.431000;(9.584098879555665, 0.6667013776227682, 0.28403936584905165)
johnsonsu;0.100075;0.413000;(10.366911143662996, 4.165939757201434, 1.0752478736192583, 0.022578748870859006)
loggamma;0.100735;0.405000;(2.1628199913771935, 0.9128440825632826, 0.04485169668654869)
powernorm;0.102367;0.386000;(317.33239116372283, 1.1941742928346053, 0.08903763642023174)
gompertz;0.106459;0.339000;(0.009954411436776663, 0.8147006227662861, 0.029715901870920734)
hypsecant;0.106557;0.338000;(0.9394999575473458, 0.0232920434834393)
rayleigh;0.108257;0.320000;(0.8841460413742311, 0.04400080699102559)
mielke;0.109413;0.308000;(3.4310965201303567, 19.34314127390494, 0.7983526881788392, 0.17534091218238945)
levy_stable;0.113205;0.271000;(2.0, -1.0, 0.9423076923077002, 0.02612330198537093)
gumbel_l;0.113894;0.264000;(0.9523687624650266, 0.02883160401496858)
genlogistic;0.126835;0.164000;(0.3994070897059192, 0.9608834555336928, 0.012290406658155922)
invweibull;0.134621;0.120000;(335383574.4603342, -12537520.474726731, 12537521.393260002)
gumbel_r;0.134605;0.120000;(0.9185318566534425, 0.037380886590790266)
triang;0.138297;0.103000;(0.9999971429460861, 0.8137066059310869, 0.1862939392259082)
kstwobign;0.142338;0.087000;(0.7710586796462165, 0.19115191733644715)
burr;0.145772;0.074000;(18.158163765279014, 0.20639319862210403, 0.7959992044231674, 0.178965700176705)
powerlaw;0.158617;0.041000;(2.1414449018592556, 0.8124551792910555, 0.18754482073713868)
loglaplace;0.162840;0.033000;(40.86940955195917, -0.17615137967424638, 1.1184590719766212)
laplace;0.163317;0.032000;(0.9423076923076923, 0.027133856736147446)
cauchy;0.166573;0.027000;(0.9433387611605903, 0.02033024184771036)
maxwell;0.172330;0.020000;(0.8141341161743405, 0.07319515987926896)
genhalflogistic;0.189210;0.008000;(1.089119317301047, 0.8027580509708732, 0.21482001686973057)
foldcauchy;0.197643;0.005000;(6.3721421431821295, 0.8149818018604381, 0.020197625060708765)
arcsine;0.368917;0.000000;(0.8149447961457628, 0.1850552038542373)
truncnorm;0.365740;0.000000;(0.9366308742231351, 1.1487404696729775, 0.00016200580672291113, 0.8703776396776381)
truncexpon;0.455919;0.000000;(0.9520349780436956, 0.8153666668966135, 0.1939354513034354)
genexpon;0.272014;0.000000;(0.4301200193747415, 11.363027366393556, 2.2093267956556537, 0.8153844334203066, 0.4348461729888593)
uniform;0.338333;0.000000;(0.8153846153846154, 0.18461538461538463)
foldnorm;0.379654;0.000000;(0.11164633085688483, 0.8153846051972605, 0.12477285908872332)
semicircular;1.000000;0.000000;(2.7416475043286326, 6.000730304188692e-27)
bradford;0.339601;0.000000;(1.9509732034309813e-06, 0.8149514834854119, 0.18504855601951226)
rice;0.998744;0.000000;(105.59224732510239, -2.647824430400112, 0.03394145983444177)
vonmises;1113398226782313242389542600704.000000;0.000000;(1.2096955168853603, 0.9974850584421262, 2.1217136589358286e-32)
reciprocal;0.363773;0.000000;(0.9388202960254104, 1.151423662148712, 0.00015437795455090008, 0.868355984809826)
rdist;1.000000;0.000000;(1.3053444433571446, 2.168920778130182, 9.65228660150365e-30)
vonmises_line;1.000000;0.000000;(1.3053444430723344, 4.753864363696014, 5.795993680105564e-30)
wald;0.332677;0.000000;(0.8098065846443125, 0.18353151262711703)
