Distr;D_stats;p_value;Parameters
t;0.043334;0.469000;(16.173023038895863, 0.7615468140825319, 0.03696484146344382)
tukeylambda;0.045057;0.419000;(0.07227461878920324, 0.7614074041891261, 0.024463335973436834)
invgamma;0.045099;0.418000;(671.9726021095189, -0.24807235379715298, 678.0421447927338)
norm;0.045590;0.405000;(0.7624808559455403, 0.03943410640148248)
loggamma;0.047255;0.361000;(1773.9073925906378, -11.730104373328217, 1.669975379389582)
rice;0.048656;0.327000;(2.601439364747175, 0.6466626796761612, 0.0413196353952202)
gennorm;0.050655;0.281000;(1.6508236721230456, 0.7611443185454254, 0.049555909660613996)
dweibull;0.053496;0.225000;(1.192761010158748, 0.7607125427987638, 0.03251195395490605)
nakagami;0.053689;0.222000;(3.8731056339415044, 0.6103024503474057, 0.15720467424198337)
levy_stable;0.055045;0.198000;(1.8649387771184507, 0.9998185697486561, 0.7638307342363051, 0.026355391822211274)
powernorm;0.055809;0.186000;(0.19376909918195676, 0.7180958687462873, 0.022180589823658958)
logistic;0.057484;0.161000;(0.7605681726625206, 0.02213095711908424)
ncx2;0.058537;0.147000;(56.47493712891874, 5.5720986522033025, 0.5526325583956085, 0.0033820887575519787)
erlang;0.058593;0.146000;(28.71278732833097, 0.5517273275380481, 0.007340057761983915)
gamma;0.058592;0.146000;(28.712793018248117, 0.5517273473230475, 0.007340056063963372)
pearson3;0.058590;0.146000;(0.37320833970281175, 0.7624808347455263, 0.03933088534561825)
beta;0.058650;0.146000;(28.183116524432663, 61229.61597005372, 0.5536348598140186, 453.97398440455584)
chi2;0.058592;0.146000;(57.42563057590442, 0.5517272632695622, 0.0036700266718185694)
gengamma;0.059198;0.139000;(13.286565641996773, 1.2863961135746196, 0.5778698427606958, 0.02486381464102551)
fatiguelife;0.059668;0.133000;(0.13083027271654896, 0.4622739160643776, 0.2976606615131647)
recipinvgauss;0.059670;0.133000;(0.017271133367015093, 0.46297687170651347, 0.005084943693419528)
johnsonsb;0.059801;0.131000;(15.71742457107974, 6.3778989898525715, 0.4905189386010479, 3.4364823237549915)
ncf;0.060075;0.128000;(208.12071665304805, 225.70291672083903, 0.9952612295670202, 0.4749353095776815, 0.28367531120597267)
lognorm;0.060152;0.127000;(0.13286850159118552, 0.4674644683097382, 0.2924234702681402)
powerlognorm;0.060208;0.127000;(0.9040365541939832, 0.1225409080679542, 0.45243423261565546, 0.30411241004558454)
f;0.060537;0.123000;(312.4970537434881, 210.30494727670646, 0.45263374293530273, 0.3068983260007923)
alpha;0.061122;0.116000;(14.610602277912879, 0.1949750316158783, 8.252363660386923)
weibull_max;0.061719;0.110000;(5.991085045317129, 0.9657282597590736, 0.21899705371828132)
genextreme;0.061710;0.110000;(0.16688366516319433, 0.7467332535444695, 0.03655046986006319)
exponweib;0.062133;0.106000;(41.909466853096816, 4.3390169447822515, 0.15761784189670125, 0.43468786353268696)
weibull_min;0.063354;0.094000;(3.1181907467359116, 0.6469938583812003, 0.1288810541077715)
invgauss;0.064413;0.085000;(0.02193858738964677, 0.4949354310686426, 12.189907512309308)
exponnorm;0.065928;0.073000;(0.9129665086569083, 0.7355875471658362, 0.02945654098769626)
johnsonsu;0.066444;0.070000;(-1.5241244489209311, 2.9109856637914344, 0.7074827531737704, 0.0946736690742003)
mielke;0.070949;0.044000;(12487.656638471924, 5832.636812471324, -154.84119389956163, 155.5746163835264)
genlogistic;0.071456;0.041000;(2.261524615221532, 0.7312965346563552, 0.02701581749800175)
fisk;0.072114;0.038000;(10.607432869873023, 0.5268235257007934, 0.23235848098630768)
hypsecant;0.072623;0.036000;(0.7597095298421661, 0.026294300790788757)
burr;0.072692;0.036000;(35.82604242574051, 1.8228336128909315, -0.16588318003233726, 0.9051372855937689)
betaprime;0.087885;0.006000;(6.991944588253919, 44420.15458914407, 0.6408875236348013, 784.2707736277833)
invweibull;0.090476;0.004000;(108835380.13414481, -3998033.0953114037, 3998033.839167427)
gumbel_r;0.094121;0.002000;(0.7435495332417712, 0.03607903318682741)
exponpow;0.096568;0.002000;(1.9950936994148898, 0.6522394987660158, 0.15399011726702214)
laplace;0.102339;0.001000;(0.758893280632411, 0.030648125452947265)
loglaplace;0.100451;0.001000;(6.361601278850632, 0.5653358129156392, 0.19355746748755798)
dgamma;0.099750;0.001000;(1.3117700257685936, 0.756659071737322, 0.02341104528153324)
triang;0.097655;0.001000;(0.40374731067077424, 0.6525791968500465, 0.24128855646994157)
pareto;0.377316;0.000000;(26811319.240007877, -2782377.7391372737, 2782378.392523728)
chi;0.379921;0.000000;(0.3272976031974424, 0.6533864541832668, 0.8190035243514178)
cosine;1.000000;0.000000;(5.750777308659611, 1.0542256311809282e-30)
powerlaw;0.273457;0.000000;(1.1384397665398946, 0.6533290986458309, 0.2398332990632196)
wald;0.230651;0.000000;(0.6488142764830702, 0.16004842479929335)
vonmises_line;1.000000;0.000000;(1.3053444204727533, 4.551670495475639, 2.8689264369671617e-30)
vonmises;21973138580588300442932346880.000000;0.000000;(1.699696238022162, 0.7317057659561788, 1.0728752998406622e-30)
uniform;0.235169;0.000000;(0.6533864541832669, 0.2397759389791263)
arcsine;0.292816;0.000000;(0.6533864541832668, 0.23979721650479938)
semicircular;1.000000;0.000000;(2.443908437637137, 1.9519140503777917e-30)
truncnorm;0.215978;0.000000;(0.8709965570226128, 1.1906971587018225, 0.00013764935313820915, 0.7500015895736483)
truncexpon;0.275999;0.000000;(0.8926746887840866, 0.6533864460139407, 0.2686039719509311)
cauchy;0.117546;0.000000;(0.7571866317464424, 0.022291282146568073)
rdist;1.000000;0.000000;(1.305344414415701, 1.9667273477624088, 3.948876927552331e-30)
reciprocal;0.215884;0.000000;(0.8709965570226128, 1.1906971587018225, 0.00013764935313820915, 0.7500015895736483)
rayleigh;0.990896;0.000000;(0.8644520645930237, 0.07730839585941501)
bradford;0.251851;0.000000;(0.8916875123781902, 0.6533846690428, 0.23977772778315726)
gausshyper;0.146429;0.000000;(2.3183962325693326, 4.891629394391455, 1.880171083803007, -0.9999999840251026, 0.6521675749640952, 0.2458311072181475)
nct;0.218374;0.000000;(162.6990591328597, 31.82953919338302, -0.648660844923421, 0.04428362354800291)
halfgennorm;0.277934;0.000000;(6.811241084262151, 0.653386454180786, 0.19024259036060437)
genexpon;0.196848;0.000000;(0.0011973097488805757, 5.167884614864823, 0.003740130351861397, 0.6529972104910275, 0.01142424966489367)
genhalflogistic;0.252730;0.000000;(0.4361488149457866, 0.6533864461247267, 0.10658348525023872)
gilbrat;0.243907;0.000000;(0.65264642642739, 0.10143396708866928)
gompertz;0.347371;0.000000;(1.4121788857857513, 0.6533864457213909, 0.19169695553514454)
gumbel_l;0.113184;0.000000;(0.7829888995948028, 0.042890138198933225)
halfcauchy;0.287159;0.000000;(0.653386452128758, 0.10270864659565263)
halflogistic;0.332307;0.000000;(0.6533864513021563, 0.07255534774139338)
halfnorm;0.337607;0.000000;(0.6533864540294703, 0.1160515482664023)
genpareto;0.559342;0.000000;(-1.756017851747424, 0.007771605447056896, 1.5547620290008446)
expon;0.360797;0.000000;(0.6533864541832669, 0.10909440176227336)
anglit;1.000000;0.000000;(2.15758071111628, 4.216902524723713e-30)
ksone;0.235169;0.000000;(1.0709282600454806, 0.6533864468281814, 0.2397759565999888)
kstwobign;0.114584;0.000000;(0.6053603561885621, 0.18155451482305274)
levy;0.477316;0.000000;(0.6504607811933882, 0.08952202988098856)
