Distr;D_stats;p_value;Parameters
gennorm;0.038116;0.451000;(2.1597330742728933, 0.9346223375596562, 0.05373920290391995)
fatiguelife;0.039353;0.410000;(0.004314815497084158, -7.5505431631661555, 8.48548545435376)
f;0.039727;0.399000;(4526448.573686263, 1962844.7435574061, -29.369515837493864, 30.304585805671763)
tukeylambda;0.039995;0.390000;(0.14488653020730913, 0.935071115520826, 0.025423599720561886)
lognorm;0.040139;0.386000;(0.004804209532403304, -6.671259088162698, 7.606241567145352)
norm;0.040292;0.381000;(0.9351789529698654, 0.036612821300062486)
exponnorm;0.040289;0.381000;(3.7269904119465965e-05, 0.9351775467804029, 0.036613125614975754)
t;0.040292;0.381000;(1944004.901639605, 0.9351790985675529, 0.036612900946131795)
nakagami;0.040452;0.377000;(24671.321469667746, -10.591810592865766, 11.527134992098091)
invgamma;0.043564;0.290000;(3559.9274054832204, -1.271869670207331, 7855.024706944154)
erlang;0.044691;0.263000;(213.40565200062434, 0.390350672879207, 0.0025514473086225868)
gamma;0.044794;0.260000;(319.7827562302939, 0.26517697465234136, 0.002093837060646594)
alpha;0.046420;0.224000;(48.12129777548415, -0.8634061754786102, 86.51048753107233)
gausshyper;0.048530;0.184000;(10.8730580050753, 0.7872395087361639, -10.81651480004826, -0.6507252953274012, 0.7264836247381801, 0.27351637526182)
recipinvgauss;0.048608;0.182000;(0.004858063556639624, 0.39772646341653617, 0.0025987557484390203)
invgauss;0.055811;0.085000;(0.009879084653943847, 0.543995840728797, 39.570800643439384)
gengamma;0.056591;0.078000;(5.571308740651618, 5122.838268745363, -418.558863686309, 419.36091356974566)
dweibull;0.062190;0.040000;(1.3248417406465398, 0.9370301457766599, 0.03194355563716268)
betaprime;0.065592;0.026000;(34.34744593314389, 4157980.434825573, 0.7000656614702505, 28498.191915743337)
logistic;0.065776;0.025000;(0.9371238389112393, 0.020987971176495198)
fisk;0.066002;0.024000;(109026.83925473379, -2284.080712599465, 2285.0178252801916)
powerlognorm;0.067939;0.019000;(19.25602257374749, 0.01923347847214181, -2.656856123024772, 3.7227367316795754)
weibull_min;0.072803;0.009000;(8.935760196109843, 0.6630719506914309, 0.28761247409471613)
genextreme;0.073427;0.009000;(0.4800564287686799, 0.9258401500885313, 0.03945919432978616)
weibull_max;0.073393;0.009000;(2.083079489780795, 1.0080332026819052, 0.08219624639248618)
dgamma;0.073766;0.008000;(1.5039173814413498, 0.93797249571163, 0.019568508983283016)
loggamma;0.074010;0.008000;(2.325919171655226, 0.9041222930338315, 0.050580336962852926)
beta;0.074814;0.007000;(5.7758297904663465, 2.525637058131863, 0.7653327941220756, 0.2441623844859453)
johnsonsu;0.075588;0.006000;(10.578000236502316, 4.208247989085972, 1.0868859013623862, 0.024046681165474884)
johnsonsb;0.076042;0.006000;(-1.1201893017395803, 1.4560460256691288, 0.760529566762089, 0.26164369027308376)
levy_stable;0.076520;0.005000;(2.0, -0.9999999999999998, 0.9393939393939476, 0.026915965346948487)
powernorm;0.076856;0.005000;(240.60035134199322, 1.1988571946392437, 0.09392135696311774)
pearson3;0.079180;0.004000;(-0.7337762544762388, 0.9351796615528245, 0.03712514960528656)
hypsecant;0.078249;0.004000;(0.937940500529248, 0.025150033671261007)
exponpow;0.081085;0.003000;(3.4350156541905736, 0.7925520076472252, 0.17750607065386603)
genlogistic;0.084605;0.001000;(0.4756417866811288, 0.9578902587976279, 0.014850960862552443)
burr;0.087965;0.001000;(86.29546980016471, 0.4222443840312957, -0.2620562745117099, 1.2225563678173008)
pareto;0.354658;0.000000;(5.20893858031309, 0.20550124815022675, 0.6058195065568716)
chi;0.502389;0.000000;(0.41894974507474214, 0.8113207547169811, 0.8624055020109159)
nct;0.220487;0.000000;(126.79247166097258, 32.31558189017525, -0.21490498578051181, 0.035448501699734264)
powerlaw;0.160443;0.000000;(2.1063419071748113, 0.8098068899207885, 0.19019311079870876)
cauchy;0.115420;0.000000;(0.9405051470982884, 0.022571055663650166)
rdist;1.000000;0.000000;(1.305344417379422, 2.1635245679097004, 6.578047943947323e-31)
reciprocal;0.314000;0.000000;(0.95208905262125, 1.1736135400284236, 0.000396989198838785, 0.8517310037271608)
genpareto;0.702321;0.000000;(-1.4766453553221903, 0.006608855621595359, 1.4668864193645668)
rice;0.157052;0.000000;(1.3568976450150982, 0.8111183737968157, 0.06433469149407968)
rayleigh;0.093541;0.000000;(0.8468286876425665, 0.06762495126413928)
ncx2;0.285461;0.000000;(7.966089692069783, 2.5030741594709357e-10, 0.7102316939442057, 0.028246706486402096)
semicircular;1.000000;0.000000;(2.6886792452830184, 1.4982894114168045e-25)
bradford;0.288042;0.000000;(8.475341310904824e-07, 0.8113207539916327, 0.18926264909350854)
triang;0.145230;0.000000;(0.9999999892867814, 0.810397194808931, 0.18960331130187835)
truncexpon;0.361376;0.000000;(0.6059404550868455, 0.8112774602336514, 0.31145393644120667)
truncnorm;0.316504;0.000000;(0.949868261009533, 1.1708755731930343, 0.00039542566737034554, 0.8537239971027942)
uniform;0.289186;0.000000;(0.8113207547169812, 0.18867924528301883)
vonmises;134707473660437713478939049984.000000;0.000000;(1.3391586958254833, 0.981851421891053, 1.9735134934305913e-31)
vonmises_line;1.000000;0.000000;(1.3053444318186, 4.748468179877152, 2.8603375217174487e-30)
wald;0.311829;0.000000;(0.8071430871278111, 0.18327291246468327)
arcsine;0.355424;0.000000;(0.8057127665497394, 0.19428723345026058)
ncf;0.432953;0.000000;(59.932740186281436, 93.9440967197952, 0.44722846166058927, -0.9020472424603154, 1.8220813227038248)
cosine;1.000000;0.000000;(5.999419362762216, 2.066790123131629e-44)
chi2;0.502340;0.000000;(0.702926006848893, 0.8113207547169811, 0.8827301944635266)
mielke;0.100237;0.000000;(2.965945127436134, 19.090014395612688, 0.8006057405493396, 0.17810663825141773)
foldnorm;0.330401;0.000000;(0.06638455366245781, 0.811320672832875, 0.12885615071363787)
foldcauchy;0.118821;0.000000;(46.75894629233133, -0.11565166843025865, 0.022587434825255395)
genhalflogistic;0.169334;0.000000;(1.0790249269127292, 0.7968387291417136, 0.21921607543935967)
gilbrat;0.314521;0.000000;(0.810714025755769, 0.11676747682625926)
gompertz;0.344619;0.000000;(1.676557121982945, 0.811320751905664, 0.24445343602514286)
gumbel_r;0.115936;0.000000;(0.9160704873384297, 0.039932253435474525)
gumbel_l;0.095520;0.000000;(0.9525873119269065, 0.03118185850584877)
halfcauchy;0.358463;0.000000;(0.8113207175533862, 0.11910165565328774)
halflogistic;0.320813;0.000000;(0.8113207489951115, 0.08200800007016845)
halfnorm;0.330237;0.000000;(0.8113207530124817, 0.1291969668383658)
halfgennorm;0.958000;0.000000;(90032.9591963432, 0.8113207491784213, 0.18869507219384496)
exponweib;0.520128;0.000000;(0.08172909697750401, 6.272012916701153, 0.8113207547169811, 0.7902866876326553)
expon;0.351193;0.000000;(0.8113207547169812, 0.12385819825288424)
anglit;1.000000;0.000000;(2.406222765218849, 8.267160492526516e-44)
ksone;0.289186;0.000000;(1.2645784439219516, 0.8113207512182912, 0.18867925999288418)
kstwobign;0.118763;0.000000;(0.7619712177299033, 0.19991260391856602)
laplace;0.108390;0.000000;(0.9393939393939394, 0.02940925742912296)
levy;0.539557;0.000000;(0.8086045725344754, 0.10427563472631679)
levy_l;0.371675;0.000000;(1.0049599703812122, 0.04057534232838846)
loglaplace;0.108682;0.000000;(65247577.281739704, -1915222.5857425972, 1915223.5251365337)
genexpon;0.202400;0.000000;(0.014499752326206244, 2.4106807812600453, 0.036221397946748224, 0.8113207528475348, 0.0270295048152885)
lomax;0.810236;0.000000;(8357255390643.592, 0.8113207547166905, 7493442571459.125)
maxwell;0.110712;0.000000;(0.8106892097373709, 0.07491175836740807)
invweibull;0.115915;0.000000;(168204207.38916057, -6716406.938446596, 6716407.85451531)
